video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,durationSecs,tagCount
zOwNsHlBMJM,Steffi M.,"DUBAI TRAVEL VLOG | SUMMER 2021, Quad biking, Dune bashing, Burj Khalifa, Flyboarding + more","Hey Guys, I hope you enjoy this travel vlog of I and my brothers in dubai. It's our first time of visiting Dubai and we had an amazing experience, including the hot weather, which was different from what we usually experience. We went in the peak of summer, so the heat was on a different level.
Watch in 1080p
Thank you so much for watching, please do like and subscribe to my channel
0:00 Intro
1:05 Arrival / Day 1
2:43 Villa tour
10:19 Day 2 / Quad biking, dune bashing, camel riding, desert safari
26:43 Day 3 -  Waterpark
34:01 Day 4 - Burj Khalifa, Fountain show
43:19 Day 5 - Dubai Mall
45:02 Day 6 - Jet skiing, Flyboarding
50:47: Outro


Links: 
Appartments -
http://www.habtoorpoloresort.com/
https://www.airbnb.com/rooms/26252307?check_in=2021-07-27&check_out=2021-08-01&guests=3&adults=3&s=67&unique_share_id=731c9243-0945-4e2a-bbe7-bbdb0e9eb301

Restaurants -
https://chinmarkrestaurant.com/
https://www.thegrilllshack.com/
https://www.nandos.ae/

Activities -
https://www.atlantis.com/dubai/atlantis-aquaventure/aquaventure-waterpark
https://www.getyourguide.co.uk/dubai-l173/3-course-meal-at-the-burj-club-t74881/
https://www.getyourguide.co.uk/dubai-l173/red-dunes-by-quad-bike-with-camel-ride-sandboarding-bbq-t150065/
https://www.dubai-jetski.com/

Song: https://www.youtube.com/watch?v=Ua7Qfc1xu90 Butter (Prod. by Lukrembo)

Instagrams: Mine - https://www.instagram.com/proud_melanin/
Alex - https://instagram.com/maduabumalex/
Obi - https://instagram.com/obi1chris/
Email: stefmaduabum@gmail.com


Tags: dubai trip,travel vlog,siblings trip,Desert Safari,apartment tour,emirates,city tour,dubai vacation,dune bashing,quad biking,camel riding,nandos,summer travel vlog,burj khalifa,Burj Al Arab,dubai mall,things to do in dubai,dubai fountain, atlantis aquaventure waterpark,jumeirah beach,traveling during covid,dubai ice rink,dubai marina,marina walk,how to travel,international travel vlog,jet ski, flyboard,yacht dubai,travel vlog,dubai,dubai travel vlog,what to wear in dubai,dubai trip,summer trip,girls trip,fashion influencer,how to pack for a trip,desert,traveling during a pandemic,traveling the world","['dubai trip', 'travel vlog', 'Desert Safari', 'apartment tour', 'emirates', 'city tour', 'dune bashing', 'quad biking', 'camel riding', 'nandos', 'summer travel vlog', 'burj khalifa', 'Burj Al Arab', 'dubai mall', 'things to do in dubai', 'atlantis aquaventure waterpark', 'jumeirah beach', 'traveling during covid', 'dubai ice rink', 'dubai marina', 'international travel vlog', 'jet ski', 'flyboard', 'yacht dubai', 'dubai travel vlog', 'what to wear in dubai', 'summer trip', 'girls trip', 'desert', 'traveling during a pandemic']",2021-10-15 16:58:08+00:00,2878.0,68.0,,15.0,PT51M19S,hd,false,0 days 00:51:19,30
fNk-KQTlc5A,Steffi M.,AFFORDABLE AND NATURAL COLORED CONTACT LENSES FOR DARK EYES | ft Just4kira,"Hey Guys, in this video i reviewed the just4kira colored contact Lenses and i loved them.

Here are the links to the lenses:
BUY 2 GET 1 FREE/BUY 3 GET 2 FREE/BUY 4 GET 3 FREE
Exclusive purchase link:
https://just4kira.com?aff=3004
Use my code: SteffiM to get 20% off 
Lenses link:
Hanthy Green https://bit.ly/2UCWtxB
Siwin Brown https://bit.ly/2VshBHf
Asa Blue https://bit.ly/3AQtlUj
Hanthy Gray https://bit.ly/3ASrQF6


#just4kira #coloredcontactsfordarkeyes #contactlenses 
song: https://www.youtube.com/watch?v=5cmlgvekbYY
Instagram: https://www.instagram.com/proud_melanin/
Email: stefmaduabum@gmail.com",,2021-08-02 17:34:37+00:00,368.0,17.0,,8.0,PT13M24S,hd,false,0 days 00:13:24,0
OasyAm-D7h0,Steffi M.,ISEE Curly Hair Review | Mongolian Water wave |1 month update | What you need to know before buying,"In this video I'm giving you all the information you need to know before for getting this hair.
I hope you enjoy this video and please dont forget to subscribe, like this video and leave a comment if you'd like.
Thank you so much for watching this video and for your support🥰




#iseehair #mongolian #waterwave #lacefront #curlywig
song: https://www.youtube.com/watch?v=kqh0r8lEo5M
Instagram: https://www.instagram.com/proud_melanin/
Email: stefmaduabum@gmail.com","['isee', 'isee hair', 'lace front', 'wigs', '4c hair', 'curly hair', 'curly wigs']",2021-07-11 13:13:46+00:00,287.0,17.0,,4.0,PT7M59S,hd,false,0 days 00:07:59,7
oCmcfKU4kpY,Steffi M.,Faux locs on yourself | Without Braiding | No Crotchet,"In this video I'm showing how I make faux locs on myself without braiding/crotchet, which saves you a lot of time.
I hope you enjoy the video and thank you so much for watching 🥰
I'd appreciate it a lot if you leave a like and subscribe, thanks once again💕 


song:https://youtu.be/5cmlgvekbYY

Instagram:https://www.instagram.com/proud_melanin/

Email: stefmaduabum@gmail.com 


#naturalhair #protectivestyles #fauxlocs #braids #4chairstyles","['faux locs', 'braids', 'natural hair', 'twists', 'braiding', '4c hair']",2021-06-27 11:34:59+00:00,142.0,17.0,,5.0,PT12M30S,hd,false,0 days 00:12:30,6
p-RdTyb6V2w,Steffi M.,"Living in Nigeria vs Living in Switzerland | Housing, school, employment, transportation, food..","Hey guys 
In this video I talked about the differences living in Nigeria vs in Switzerland. I talked about topics like housing, school, food, transportation, employment and more.
I hope you enjoy this video.
Please do subscribe, leave a like if this video was helpful in any way and also feel free to leave a comment/ask questions or you can reach out to me instagram if you'd prefer.
Thank you so much for watching😊

Instagram: https://www.instagram.com/proud_melanin/

song: https://youtu.be/9S4RCAbebxA


E-mail: stefmaduabum@gmail.com","['school', 'nigeria', 'Switzerland', 'living']",2021-04-11 13:44:20+00:00,8858.0,246.0,,40.0,PT26M40S,hd,false,0 days 00:26:40,4
lt7nw5cLMd0,Steffi M.,FASHION NOVA JEANS / ACTIVE WEARS |Try on haul | Size 15 | Tall girl edition,"Hey Loves
In this video, I will be trying out some Jeans and active wears that i bought from Fashion Nova.
Hope you enjoy this video and thank you so much for watching.
Please don't forget to subscribe and leave a like.

Here's the link to the jeans/active wears


Girl Talk Ankle Jeans: https://www.fashionnova.com/products/girl-talk-ankle-jeans-medium-blue-wash?variant=12202166419580

Salem High Rise Jeans: https://www.fashionnova.com/products/salem-high-rise-jeans-medium-blue?variant=34710099409

Heaven sent skinny jeans: https://www.fashionnova.com/products/heaven-sent-skinny-jeans-black?variant=38937279569

Seams Legit Skinny Jeans: https://www.fashionnova.com/products/seams-legit-skinny-jeans-black?variant=12202279043196

Love to run active leggings: https://www.fashionnova.com/products/love-to-run-active-leggings-black?variant=12186697859196

Fight for it Active Legging: https://www.fashionnova.com/products/keep-it-stepping-performance-leggings-black?variant=723575341073

Run around active legging: https://www.fashionnova.com/products/run-around-active-legging-charcoal?variant=12204149538940

Run around active Sports bra:
https://www.fashionnova.com/products/run-around-sport-bra-charcoal?variant=12204148949116




song: https://www.youtube.com/watch?v=s7E_5Y3kRC0

Instagram: https://www.instagram.com/proud_melanin/

Mail: stefmaduabum@gmail.com","['fashion', 'fashion nova', 'plt', 'prettylittlething', 'shein', 'jeans', 'jeggings', 'leggings', 'sports', 'sportswear', 'sportsbra', 'bra', 'tall', 'tall girl friendly', 'curvy', 'fashion nova curve', 'darkskin', 'slim', 'thick', 'boohoo', 'squatproof', 'jump', 'support', 'stephanie maduabum', 'stephanie', 'maduabum', 'size', 'size 15', ""5'8"", '176cm']",2020-11-11 16:38:47+00:00,2834.0,81.0,,15.0,PT13M23S,hd,false,0 days 00:13:23,30
siD65Xfwmt4,Steffi M.,UNBOXING THE $200 BEL AIR ATHLETICS MYSTERY BOX | WHAT IS INSIDE THE BOX? ft Obi,"In this video, my brother and I will be unboxing the WILL Smith's Bel Air Mystery Box. Hope you enjoy this video and please don't forget to like and subscribe. 
Let me know in the comments, what you expected :)


song: https://youtu.be/Chh7IleTELM
IG: https://www.instagram.com/proud_melanin/","['bel air', 'will smith', 'mystery box', 'haul', 'unboxing', 'unboxing mystery box', 'ft', 'lil bro', 'little bro', 'younger brother', 'canon', 'canon 200d', 'canon sl2', 'athletes', 'athletics', 'sports', 'sportswear']",2020-10-01 18:55:09+00:00,396.0,36.0,,12.0,PT14M23S,hd,false,0 days 00:14:23,17
Aj7PctJzuto,Steffi M.,Makeup Revolution Bronzing Powder on Dark skin | Review | Worth the Hype?,"I hope you enjoy this review of the New Makeup Revolution Bronzing Powder.
Bronzing Powder: https://www.revolutionbeauty.com Dark

Thanks for watching and please don't forget to Subscribe and like :)

song: https://www.youtube.com/watch?v=zhoHfiLGbY4
---------------------------------------------------------------------------------------------------------------------------
IG: https://www.instagram.com/proud_melanin/","['makeup', 'Revolution', 'makeup revolution', 'darkskin', 'black', 'brownskin', 'nigeria', 'igbo', 'igbo girl', 'makeup glow', 'face', 'facebeat', 'eyebrow', 'bronzing powder', 'glowpowder', 'bronzer', 'foundation', 'hype', 'switzerland', 'zurich', 'face powder']",2020-07-24 16:20:09+00:00,232.0,25.0,,10.0,PT11M39S,hd,false,0 days 00:11:39,21
LgvJxtbZ4Mc,Steffi M.,Life in Switzerland as a Black | Is there Racism in Switzerland? | Experiences | Let's Talk,"Hey there sweeties!
I hope everybody is doing well. With everything that's going on in the world, it's right to speak up about things that definetly need to be talked about. It's sad that Racism is still a debate in 2020 and this is part of the reasons i decided to talk about my own personal experiences here in Switzerland. Everybody has a different experince and that's why i'm focusing on mine to create more Awareness.
I hope you enjoy this Video and do feel free to tell me what you think. Also please don't forget to Subscribe and like this video :)
Wishing everyone a good week, Stay safe and keep educating yourselves :)



Instagram: https://www.instagram.com/proud_melanin/","['Racism', 'switzerland', 'zurich', 'zürich', 'black', 'george floyd', 'police brutality', 'black girl', 'black woman', 'life', 'life experiences', 'good and bad', 'diana ankudinova']",2020-07-11 11:50:44+00:00,18662.0,401.0,,223.0,PT26M56S,hd,false,0 days 00:26:56,13
fl8OjQFqX5Y,Steffi M.,SLEEK LOW BUN / LOW PUFF ON SHORT 4C HAIR,"Hey Loves
I Hope you're all doing good. In this video, i'll be showing you how i do a sleek low bun / puff on my short 4c hair. This is my first attempt since i had a bigchop. I hope you enjoy the video. Feel free to let me know if this helped or even a feedback in general :)
Thank you for watching and please don't forget to like and  Subscribe :)
.
.
.
Hair:  https://www.aliexpress.com/item/32819556486.html?spm=a2g0s.9042311.0.0.11b84c4dn0UVOF
.
.
.
Song: https://www.youtube.com/watch?v=B7ArnZl_zBU","['4c', '4c hair', 'sleek', 'low bun', 'low puff', 'hair tutorial', 'black girl', 'black girl hair', 'hair extension', 'hair clips', 'kinky hair', 'coils', 'coily hair', 'short', 'short hair', 'short 4c hair', 'canon', 'canon 200d', 'canon sl2', 'aliexpress', 'aliexpress hair', 'type 4 hair']",2020-05-23 14:34:05+00:00,306.0,32.0,,15.0,PT11M35S,hd,false,0 days 00:11:35,22
wu-z-0Ps5iw,Steffi M.,EASY EYEBROW TUTORIAL | CLOSE UP | BEGINNER FRIENDLY,"Hey Loves
This is a quick and easy tutorial on how i do my brows. In this video i show two different ways i usually do my brows, using a dipbrow gel and a brow-pencil. 
I know i was too close to the camera but i figured it out after i had finished filming :(
I hope still you enjoy the video.
Thank you for watching and don't forget to like and subscribe.
Feel free to leave a comment if you want :)

much love
stay safe:)
.
.
.
.
song: https://www.youtube.com/watch?v=dHbqvXZoWeM","['Eyebrow', 'tutorial', 'eyebrow tutorial', 'makeup', 'concealer', 'dipbrow', 'browpencil', 'makeup tutprial', 'darkskin', 'lightskin', '4c', 'brownskin', 'canon', 'canon 200d', 'sl2', 'blending', 'close up', 'BEGINNER', 'beginner friendly', 'in depth']",2020-04-29 18:45:22+00:00,170.0,25.0,,15.0,PT5M41S,hd,false,0 days 00:05:41,20
BJnirqVIbBY,Steffi M.,I FORGOT MY MAKEUP ROUTINE. FIRST MAKEUP VIDEO IS A FAIL | DARKSKIN MAKEUP,"Hey Guys
I hope everyone is doing fine especially during this period.
This is my first makeup look, which turned out to be a fail for me at least haha. I personally didn't like the lighting and i was still trying to figure out some of my phone camera settings but these are things I'm still working on. Asides from that, i forgot to do a lot of things during the process, to be able to call this a tutorial. 
Anyways I hope you enjoy the video regardless.
Thank you for watching
And don't forget to like, subscribe and leave a comment down below, if you want :)

Please do STAY SAFE y'all
Much love


IG: https://instagram.com/proud_melanin?igshid=hly3b6qe7168","['Makeup routine', 'makeup', 'darkskin', 'darksinmakeup', 'makeupfail', 'fail', 'goldenhour', 'camera', 'phonecamera', 'samsung', 'samsunggalaxys10+']",2020-04-16 19:07:02+00:00,234.0,37.0,,22.0,PT11M55S,hd,false,0 days 00:11:55,11
acI_M3rKG4s,Steffi M.,GET TO KNOW ME | STEPHANIE,"Hey guys
Welcome to my channel. This is my first youtube video and i am so happy to have you on this journey with me. Feel free to subscribe, like and leave a comment down below.
Don't forget to turn on your post notification .
Thank You :)

song: Chop Daily x Wusu x MMorgan x Sonzi - Right By You",,2020-03-28 22:02:47+00:00,580.0,54.0,,36.0,PT15M43S,hd,false,0 days 00:15:43,0
